Open_time,시가,고가,저가,종가,거래량,거래대금,거래횟수,매수_기본_자산_거래량,매수_상대_자산_거래대금
2022-06-23,19988.0,21233.0,19890.07,21110.13,83127.09,1710694866.46,1207858,42716.84,879244263.28
2022-06-24,21110.12,21558.41,20736.72,21237.69,77430.37,1635129191.17,1309709,38582.37,815027131.32
2022-06-25,21237.68,21614.5,20906.62,21491.19,51431.68,1093873137.97,874540,25240.18,536863288.46
2022-06-26,21491.18,21888.0,20964.73,21038.07,53278.1,1139258367.16,885306,26051.16,557192553.72
2022-06-27,21038.08,21539.85,20510.0,20742.56,64475.0,1354369225.84,1002214,31992.46,672191483.81
2022-06-28,20742.57,21212.1,20202.01,20281.29,63801.08,1321862977.93,1064497,30490.79,631852171.76
2022-06-29,20281.28,20432.31,19854.92,20123.01,77309.04,1556549790.01,1210636,37814.12,761473366.39
2022-06-30,20123.0,20179.08,18626.0,19942.21,93846.65,1808994369.03,1438163,45447.98,876020577.35
2022-07-01,19942.21,20918.35,18975.0,19279.8,111844.59,2197016369.97,1668363,56417.62,1108492421.96
2022-07-02,19279.8,19467.39,18977.01,19252.81,46180.3,888415536.87,833508,23693.91,455851305.38
2022-07-03,19252.82,19647.63,18781.0,19315.83,51087.47,980255891.4,880786,25361.96,486752875.44
2022-07-04,19315.83,20354.01,19055.31,20236.71,74814.05,1470987695.52,1282843,38543.72,758241531.99
2022-07-05,20236.71,20750.0,19304.4,20175.83,96041.14,1919950110.17,1612273,48358.48,967109793.38
2022-07-06,20175.84,20675.22,19761.25,20564.51,82439.58,1665481948.01,1472221,41580.73,840150579.64
2022-07-07,20564.51,21838.1,20251.68,21624.98,85014.58,1783224085.72,1653722,42731.54,896703207.21
2022-07-08,21624.99,22527.37,21189.26,21594.75,403081.57,8781330156.61,4358216,201798.1,4396546053.03
2022-07-09,21594.75,21980.0,21322.12,21591.83,178417.84,3857190523.49,3524386,89418.02,1933132016.3
2022-07-10,21592.15,21607.65,20655.0,20862.47,192188.22,4062794310.27,3434401,95376.75,2016291891.37
2022-07-11,20861.11,20868.48,19875.23,19963.61,137535.41,2813718031.11,3232941,66869.47,1368289522.98
2022-07-12,19963.61,20059.42,19240.0,19328.75,139506.46,2754215439.33,3626399,67681.12,1336338002.7
2022-07-13,19331.28,20366.61,18910.94,20234.87,209250.25,4096306063.8,4789109,103667.14,2029863027.18
2022-07-14,20234.87,20900.0,19616.07,20588.84,174809.22,3526210098.29,4576355,87993.06,1775442258.41
2022-07-15,20588.84,21200.0,20382.29,20830.04,143343.3,2984339734.35,4411375,71354.95,1485929119.43
2022-07-16,20830.04,21588.94,20478.61,21195.6,121011.67,2539616922.8,3723401,61225.46,1285100231.96
2022-07-17,21195.6,21684.54,20750.01,20798.16,118229.45,2511251392.58,4261057,59550.95,1265042502.46
2022-07-18,20799.58,22777.63,20762.45,22432.58,239942.73,5263396811.54,6564387,122398.32,2685273104.3
2022-07-19,22432.58,23800.0,21579.54,23396.62,263770.77,5954419902.22,6488375,132874.43,2999605957.3
2022-07-20,23398.48,24276.74,22906.19,23223.3,238762.17,5631801151.22,6364038,119820.55,2826789486.17
2022-07-21,23223.3,23442.77,22341.46,23152.19,184817.68,4232411759.4,4808194,92958.79,2128895623.66
2022-07-22,23152.19,23756.49,22500.0,22684.83,171598.44,3981394766.23,4745582,85026.97,1973166657.88
2022-07-23,22684.83,23000.77,21934.57,22451.07,122137.77,2745262660.68,3762227,61569.86,1383868861.28
2022-07-24,22448.58,23014.64,22257.15,22579.68,115189.67,2610817967.16,3671238,58086.99,1316724597.44
2022-07-25,22577.13,22666.0,21250.0,21310.9,180344.77,3954002948.55,4807238,88021.95,1930051719.27
2022-07-26,21310.9,21347.82,20706.5,21254.67,177817.24,3738774849.36,4545385,87353.46,1836821500.49
2022-07-27,21254.67,23112.63,21042.53,22952.45,210971.2,4614909656.7,5475738,106519.13,2330764840.65
2022-07-28,22954.31,24199.72,22582.13,23842.93,236029.07,5511388547.62,6500034,118170.71,2759524239.02
2022-07-29,23845.25,24442.66,23414.03,23773.75,198298.51,4733780641.31,6221401,100165.61,2391310897.49
2022-07-30,23777.28,24668.0,23502.25,23643.51,151060.13,3634601094.97,4801528,75778.59,1823456271.88
